# CHECK constraints do schema public, extraídos do banco.
#
# Origem: consulta a pg_constraint no SQL Editor do Supabase (2026-08-26).
# Formato: tabela | constraint | definição (verbatim, como o Postgres devolve).
#
# Este arquivo é a FONTE. Rode `node scripts/gerar-regras-colunas.mjs` para
# transformá-lo em lib/db-regras.json, que o agente lê em descrever_tabela.
#
# Para atualizar depois de mudar o banco, rode de novo:
#   select rel.relname, con.conname, pg_get_constraintdef(con.oid)
#   from pg_constraint con join pg_class rel on rel.oid = con.conrelid
#   where con.contype = 'c' and rel.relnamespace = 'public'::regnamespace
#   order by rel.relname, con.conname;

alertas_onboarding | alertas_onboarding_origem_check | CHECK (((origem)::text = ANY ((ARRAY['sistema'::character varying, 'usuario'::character varying, 'agente'::character varying, 'automacao'::character varying, 'importacao'::character varying])::text[])))
alertas_onboarding | alertas_onboarding_resolucao_check | CHECK ((((status)::text <> 'resolvido'::text) OR (resolvido_em IS NOT NULL)))
alertas_onboarding | alertas_onboarding_severidade_check | CHECK (((severidade)::text = ANY ((ARRAY['informativo'::character varying, 'atencao'::character varying, 'importante'::character varying, 'critico'::character varying])::text[])))
alertas_onboarding | alertas_onboarding_status_check | CHECK (((status)::text = ANY ((ARRAY['aberto'::character varying, 'visualizado'::character varying, 'resolvido'::character varying, 'ignorado'::character varying])::text[])))
alertas_onboarding | alertas_onboarding_tipo_check | CHECK (((tipo_alerta)::text = ANY ((ARRAY['tarefa_vencida'::character varying, 'vence_hoje'::character varying, 'aguardando_evidencia'::character varying, 'tarefa_bloqueada'::character varying, 'aguardando_cliente'::character varying, 'aguardando_terceiro'::character varying, 'onboarding_atrasado'::character varying, 'manual'::character varying, 'outro'::character varying])::text[])))
canais_comunicacao | canais_comunicacao_email_check | CHECK ((((tipo_canal)::text <> 'email'::text) OR (valor ~* '^[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,}$'::text)))
canais_comunicacao | canais_comunicacao_telefone_check | CHECK ((((tipo_canal)::text <> ALL ((ARRAY['whatsapp'::character varying, 'telefone'::character varying])::text[])) OR (valor ~ '^[0-9]{10,15}$'::text)))
canais_comunicacao | canais_comunicacao_tipo_check | CHECK (((tipo_canal)::text = ANY ((ARRAY['email'::character varying, 'whatsapp'::character varying, 'telefone'::character varying, 'telegram'::character varying, 'slack'::character varying, 'outro'::character varying])::text[])))
contrato_servicos | contrato_servicos_datas_check | CHECK (((data_fim IS NULL) OR (data_inicio IS NULL) OR (data_fim >= data_inicio)))
contrato_servicos | contrato_servicos_frequencia_check | CHECK (((frequencia IS NULL) OR ((frequencia)::text = ANY ((ARRAY['diaria'::character varying, 'semanal'::character varying, 'quinzenal'::character varying, 'mensal'::character varying, 'bimestral'::character varying, 'trimestral'::character varying, 'semestral'::character varying, 'anual'::character varying, 'continua'::character varying, 'sob_demanda'::character varying, 'pontual'::character varying])::text[]))))
contrato_servicos | contrato_servicos_prazo_check | CHECK (((prazo_entrega_dias_uteis IS NULL) OR (prazo_entrega_dias_uteis >= 0)))
